domain,label,confidence,brand_name_primary,brand_names_all,country_primary,countries_all,sources,classification_reasons,text_score,vision_score,stage_used
saeta-paris.com,Bodywear Leaning,0.5,SAETA PARIS,SAETA PARIS,,,HS fairs,"bodywear:lingerie,bras,panties;generalist:accessories;vision_screenshot:0.00",0.6888888888888889,0.0,http+vision
muehlmeier.eu,Bodywear Leaning,0.5,MUEHLMEIER Bodyshaping GmbH,MUEHLMEIER Bodyshaping GmbH,Germany,Germany,HS fairs|HS segment,"bodywear:bra,bras;generalist:home;vision_screenshot:0.00",0.7642857142857142,0.0,http+vision
welovesocks.it,Bodywear Leaning,0.5,SANGIACOMO,SANGIACOMO,Italy,Italy,HS fairs,vision_screenshot:0.30;text_extraction_failed,0.0,0.3,playwright
pinklabel.gr,Bodywear Leaning,0.5,COSTAMANOLO GP,COSTAMANOLO GP,Greece,Greece,HS fairs,"bodywear:underwear,pyjamas,swimwear,loungewear;generalist:home,sneaker;vision_screenshot:0.00",0.773,0.0,http+vision
oceansapart.com,Bodywear Leaning,0.5,Rise Up Fashion GmbH,OCEANSAPART|Rise Up Fashion GmbH,Germany,Germany,Dealfront|HS segment,"bodywear:underwear,bras,panties;generalist:coats,jackets,accessories;vision_screenshot:0.00",0.5192307692307692,0.0,http+vision
portokalada.fr,Bodywear Leaning,0.5,Portokalada,Portokalada,France,France,HS segment,"bodywear:tanga,culotte,maillot de bain,maillots;generalist:accessoires;vision_screenshot:0.00",0.5842105263157894,0.0,http+vision
voyeurx.nl,Bodywear Leaning,0.5,Voyeur X,Voyeur X,Netherlands,Netherlands,HS segment,bodywear:lingerie;generalist:accessoires;vision_screenshot:0.00,0.6409090909090909,0.0,http+vision
ilgabbianobeachwear.com,Bodywear Leaning,0.5,Il Gabbiano Beachwear,Il Gabbiano Beachwear,Italy,Italy,HS segment,"bodywear:bikini,slip;generalist:home;vision_screenshot:0.00",0.6699999999999999,0.0,http+vision
impetus.pt,Bodywear Leaning,0.5,Impetus Group,Impetus Group,Portugal,Portugal,HS segment,"bodywear:underwear,nightwear;vision_screenshot:0.05",0.6666666666666666,0.05,http+vision
lapartisienne.fr,Bodywear Leaning,0.5,La Partisienne,La Partisienne,France,France,HS segment,bodywear:lingerie;generalist:baby;vision_screenshot:0.00,0.6821428571428572,0.0,http+vision
mydacapo.de,Bodywear Leaning,0.5,MORITZ HENDEL & SÖHNE,MORITZ HENDEL & SÖHNE,Germany,Germany,Supreme Body & Beach,"bodywear:bh,slips,dessous;generalist:accessoires;vision_screenshot:0.10",0.5549999999999999,0.1,http+vision
evedess.com,Bodywear Leaning,0.5,EVE Dessous VertriebsgesmbH,EVE Dessous VertriebsgesmbH,Austria,Austria,Dealfront,"bodywear:dessous,bademode;generalist:home;vision_screenshot:0.00",0.7527777777777778,0.0,http+vision
lidea.com,Bodywear Leaning,0.5,Maryan Beachwear Group GmbH,Maryan Beachwear Group GmbH,Germany,Germany,Dealfront,bodywear:swimwear;vision_screenshot:0.00,0.6666666666666666,0.0,http+vision
zizzifashion.com,Bodywear Leaning,0.5,Zizzi ApS,Zizzi ApS,Denmark,Denmark,Dealfront,"bodywear:underwear,nightwear,shapewear,swimwear;generalist:jeans,jackets,shoes;vision_screenshot:0.10",0.5177777777777777,0.1,http+vision
lindner-socks.com,Bodywear Leaning,0.5,Strumpfwerk Lindner GmbH,Strumpfwerk Lindner GmbH,Germany,Germany,Dealfront,vision_screenshot:0.30;text_extraction_failed,0.0,0.3,playwright
