domain,label,confidence,text_score,vision_score,reasons,image_count,error,started_at,finished_at,stage_used,nav_count,heading_count
sassemode.com,Error,0.0,,,,0,Firecrawl API error: 500,2025-11-07T16:39:37.110618,2025-11-07T16:39:44.518579,,0,0
unitedlegwear.com,Generalist,1.0,0.0,,,0,,2025-11-07T16:39:44.833163,2025-11-07T16:39:45.725650,http,21,4
scs-finesse.de,Generalist,1.0,0.0,,,0,,2025-11-07T16:39:45.987633,2025-11-07T16:39:46.346794,http,22,4
seafolly.com,Pure Bodywear,0.9511363636363636,0.9511363636363636,,"bodywear:swimwear,swim,bikini,hipster;generalist:accessories",0,,2025-11-07T16:39:46.627762,2025-11-07T16:39:47.610815,http,99,10
simone-herrera.com,Generalist,1.0,0.0,,"generalist:bags,schuhe,taschen",0,,2025-11-07T16:39:47.870119,2025-11-07T16:39:48.141270,http,24,6
speidelshop.com,Pure Bodywear,0.975,0.975,,"bodywear:shapewear,bh,slip,slips,string",0,,2025-11-07T16:39:48.399626,2025-11-07T16:39:48.616388,http,54,8
valdazur.de,Generalist,1.0,0.0,,generalist:home,0,,2025-11-07T16:39:48.869537,2025-11-07T16:39:50.226256,http,17,0
resales.de,Generalist,0.9861111111111112,0.0138888888888888,,"bodywear:pyjamas,loungewear,unterwäsche,nachtwäsche,bademode;generalist:jeans,accessoires,mäntel",0,,2025-11-07T16:39:50.513298,2025-11-07T16:39:50.930287,http,55,8
rs-textil.de,Generalist,1.0,0.0,0.0,vision_screenshot:0.00;text_extraction_failed,1,,2025-11-07T16:39:51.183552,2025-11-07T16:39:53.785595,playwright,0,0
bantel.de,Generalist,1.0,0.0,,"generalist:home,kinder",0,,2025-11-07T16:39:54.056840,2025-11-07T16:39:54.415343,http,17,7
felix-burda-stiftung.de,Generalist,1.0,0.0,0.0,vision_screenshot:0.00;text_extraction_failed,1,,2025-11-07T16:39:54.704876,2025-11-07T16:39:57.735214,playwright,0,0
vogel-konstruktion.de,Generalist,1.0,0.0,0.0,vision_screenshot:0.00;text_extraction_failed,1,,2025-11-07T16:39:58.012985,2025-11-07T16:40:05.668997,playwright,0,0
ersos.de,Generalist,1.0,0.0,0.0,vision_screenshot:0.00;text_extraction_failed,1,,2025-11-07T16:40:05.953313,2025-11-07T16:40:08.329143,playwright,0,0
fiwagroup.com,Generalist,1.0,0.0,,,0,,2025-11-07T16:40:08.615500,2025-11-07T16:40:09.499206,http,78,7
darmkrebs.de,Generalist,1.0,0.0,0.0,vision_screenshot:0.00;text_extraction_failed,1,,2025-11-07T16:40:09.762848,2025-11-07T16:40:12.490722,playwright,0,0
hubert-burda-stiftung.de,Generalist,1.0,0.0,,generalist:home,0,,2025-11-07T16:40:12.800865,2025-11-07T16:40:13.186964,http,20,2
madeleine.com,Generalist,1.0,0.0,,,0,,2025-11-07T16:40:13.491897,2025-11-07T16:40:13.901372,http,14,1
heine.de,Generalist,0.9875,0.0125,,"bodywear:bademode;generalist:accessoires,mäntel,schuhe",0,,2025-11-07T16:40:14.168895,2025-11-07T16:40:14.745206,http,16,10
heine.at,Generalist,0.9875,0.0125,,"bodywear:bademode;generalist:accessoires,mäntel,schuhe",0,,2025-11-07T16:40:15.011729,2025-11-07T16:40:15.527689,http,16,10
heine.ch,Generalist,0.9875,0.0125,,"bodywear:bademode;generalist:accessoires,mäntel,schuhe",0,,2025-11-07T16:40:15.786678,2025-11-07T16:40:16.423332,http,16,10
kfz-center-klingemann.de,Generalist,1.0,0.0,,,0,,2025-11-07T16:40:16.682006,2025-11-07T16:40:17.344428,http,6,1
klingemann.de,Generalist,1.0,0.0,0.0,vision_screenshot:0.00;text_extraction_failed,1,,2025-11-07T16:40:17.607706,2025-11-07T16:40:21.128560,playwright,0,0
l-t.de,Generalist,0.8823076923076922,0.1176923076923077,,"bodywear:lingerie;generalist:jeans,home,accessoires",0,,2025-11-07T16:40:21.422018,2025-11-07T16:40:21.674662,http,148,10
mcarthurglen.com,Generalist,1.0,0.0,,,0,,2025-11-07T16:40:21.927947,2025-11-07T16:40:22.167131,http,12,3
schlier.com,Generalist,0.7905797101449274,0.3188405797101449,0.1,"bodywear:loungewear,bh,unterwäsche,nachtwäsche,bademode;generalist:baby,accessoires,mäntel;vision_screenshot:0.10",1,,2025-11-07T16:40:22.432663,2025-11-07T16:40:26.484574,http+vision,143,8
schiesser.at,Generalist,1.0,0.0,0.0,vision_screenshot:0.00;text_extraction_failed,1,,2025-11-07T16:40:26.755889,2025-11-07T16:40:29.077149,playwright,0,0
korken.at,Generalist,1.0,0.0,,generalist:home,0,,2025-11-07T16:40:29.358103,2025-11-07T16:40:29.668523,http,16,5
murk.de,Generalist,1.0,0.0,,"generalist:baby,kinder",0,,2025-11-07T16:40:29.948651,2025-11-07T16:40:31.284634,http,33,10
may-mode.de,Generalist,1.0,0.0,,"generalist:accessoires,schuhe,kinder",0,,2025-11-07T16:40:31.547779,2025-11-07T16:40:32.516563,http,99,8
wilhelm-may.de,Generalist,1.0,0.0,,,0,,2025-11-07T16:40:32.779328,2025-11-07T16:40:33.121984,http,21,7
horst-may.de,Generalist,1.0,0.0,,,0,,2025-11-07T16:40:33.392985,2025-11-07T16:40:34.049174,http,26,1
may.de,Generalist,1.0,0.0,,"generalist:accessoires,schuhe,kinder",0,,2025-11-07T16:40:34.332446,2025-11-07T16:40:35.170733,http,99,8
klingel.de,Generalist,1.0,0.0,,"generalist:accessoires,jacken,schmuck",0,,2025-11-07T16:40:35.439307,2025-11-07T16:40:35.821127,http,97,8
klingel-gmbh.de,Generalist,1.0,0.0,,,0,,2025-11-07T16:40:36.104068,2025-11-07T16:40:37.009420,http,60,10
intersport-haaf.de,Generalist,1.0,0.0,,generalist:schuhe,0,,2025-11-07T16:40:37.267493,2025-11-07T16:40:37.740943,http,98,10
schuh-sport-haaf.de,Generalist,1.0,0.0,,generalist:schuhe,0,,2025-11-07T16:40:38.008814,2025-11-07T16:40:38.217730,http,98,10
qvc.de,Error,0.0,,,,0,Firecrawl timeout,2025-11-07T16:40:38.471168,2025-11-07T16:41:46.878663,,0,0
